"type","text","year_built","beds","baths","baths_full","baths_half","garage","lot_sqft","sqft","stories","lastSoldPrice","soldOn","listPrice","status"
"single_family","Come check out this amazing, move-in ready, 5 bed, 3.5 bath in the Beautiful Edgebrook of Chicago. Completely updated within the past few years with attention to detail. Quality is everywhere throughout this home including a finished basement with a suite-like style bedroom, walk-in closet and it's own bathroom. Wake up with a cup of coffee off of your balcony connected to the master bedroom. Granite in the kitchen, gorgeous cabinets and high end appliances make this kitchen a dream. Amazing hardwood floors throughout the home, a spacious living room, large windows, 2 wood burning fire places and plenty of hot water with two 40 gallon tanks. A large 52' x 110' lot giving this home a big and beautiful backyard. Top rated Edgebrook grammar school, walking distance to local shops and restaurants, and close to Caldwell woods that has awesome walking/bike trails. Don't forget about the Billy Caldwell golf course and easy access to 90/94 getting you to O'Hare airport or Downtown quickly. Showings start Monday 5/13.","1951","4","4","3","1","1","5615","3000","2",,,"750000","for_sale"
"single_family","Move in ready 2 story Mount Greenwood home on huge 49x134 lot, with extra wide driveway, perfect for parties. 2beds up and 2 beds down, plus fully finished basement. First floor features a large family room, beautiful formal dining with new south facing windows and galley kitchen. walk in pantyry. 2 good size beds with fully built out closets and sliding glass door to rear deck. Upstairs features 2 huge bedrooms and full bath, new carpeting. Basement has beautiful family room and custom built bar. Overhead sewers ensure a dry basement. Half bath and plenty of storage. 2.5 car garage with epoxy flooring, and newer concrete driveway. Mount Greenwood public school district, close to Ridge Country Club.","1922","4","3","2","1","2","6566","2900","2","105000","1991-04-16","499900","for_sale"
"single_family","Investor Special MONEY MAKING Gem. This is your chance to be the owner of this FULLY REMODELED Townhouse in South Chicago! House features brand new deck, new walls, new furnaces, new water heaters, new floors, brand new windows AND FINISHED BASEMENT. Each floor has a full kitchen as well.","1947","4","2","2",,"3","5375","1170","2","60000","2019-10-28","325600","for_sale"
"single_family","Renovated Brick 1.5 story house with finished basement. Modern kitchen with high quality cabinetry, quartz countertops. New windows, appliances, Hardwood floors, water heater, windows. Two HVAC systems, second floor HVAC systems new, first floor HVAC systems about 4 years old. Garage roof new, house roof about 2 years old. Hug backyard. Convenient Location. 4 bedrooms, 2.1 bathrooms. 3 nice sized bedrooms on 2nd Level, 1 bedroom on mail level. This home is in a prime location, offering easy access to Devon, Peterson, parks, award winning schools, eclectic restaurants, nature preserves, and major CTA transportation routes, including a new Metra Peterson line.","1945","4","3","2","1","2","6138","2511","2","170000","1996-05-30","620000","for_sale"
"single_family","This almost 3000sq foot home was thoughtfully and lovingly renovated to retain the soul of this turn-of-the-century gem. Seamlessly blending its original character with carefully selected upgrades to honor its timeless design. Modern comforts harmonize with the historical integrity, ensuring this home retains its charm. The ceiling boasts rich wood beams that add a striking focal point, complemented by built-in cabinets featuring leaded glass doors for added elegance. Complete kitchen renovation with dark Maple cabinets and marble countertops to honor the old, paired with stainless steel appliances to bring in the new. Both upstairs bathrooms gutted to studs and renovated in a way to keep with the theme of the home while making them new and beautiful. All new plumbing and electric throughout and upgraded to 220amp service. The upstairs boasts 4 healthy sized bedrooms with built-in closets and a third floor bonus room great for an 5th bedroom, office or playroom. 2 full baths and a convenient laundry room round off the sprawling second level. Two zone AC units and insulation throughout most of the home has been added to keep the home properly cooled. All new concrete drive, landscaping and patio, along with 2 car garage provide a large entertainment space for sizable gatherings. The recent basement remodel, which includes the addition of a half bath, marks the final touch in the comprehensive renovation of this home. This home is looking for a new owner to love and appreciate it as much as the last.","1907","4","4","2","2","2","8476","2870","3",,,"850000","for_sale"
"single_family","Welcome to your serene sanctuary overlooking Gompers Park! Nestled in the charming North Mayfair neighborhood, this 4BR+ Office /2.1BA oversized bungalow offers not only a spacious layout but treetop views of the park and an abundance of natural light streaming throughout the home. Step inside and discover a home that seamlessly blends modern convenience with timeless charm. The spacious living room includes a beautiful restored decorative fireplace mantel, built-ins, stained glass windows and lots of room to entertain or relax. The formal dining room leads to the updated kitchen, which features cherry cabinetry, stainless steel appliances, granite countertops, and a large picture window facing the park. First floor features two bedrooms, one with built in cabinetry, a full bath, and a mudroom leading out to the backyard. Brand new refinished hardwood floors extend throughout the first floor. Up on the expanded/dormered second floor, there's ample space with very spacious primary bedroom with walk-in closets, a full bath, a large office space (which could be utilized as a 5th bedroom) overlooking the park, and the fourth bedroom. The finished basement offers even more space to enjoy, with a family room, half bath, laundry, and plenty of storage. For added peace of mind, the home is equipped with a Permaseal drain tile flood control system and a battery backup sump pump, complete with a warranty that transfers to the next owner. Many recent updates, most notably central air conditioning for year-round comfort installed in 2016, a new roof installed in 2022, new electrical service throughout the home in 2022, and new water heater in 2024. Outside you'll find a deck, paver patio, and newly installed cedar fence, providing both privacy and a touch of natural beauty to the backyard retreat. All of this in desirable North Mayfair, across the street from Gompers Park with tennis courts, pool, lagoon, and 2 blocks to 1+ rated Palmer Elementary School. Plenty of access to over 30 miles of trails along the North Branch Bike Trail and LaBagh Woods Forest Preserve. Enjoy easy access to shopping and grocery including Target, Starbucks, Jewel, Whole Foods and more. Minutes to Edens/Kennedy Expressway. Don't miss your chance to own this updated bungalow in North Mayfair and experience the best of city living in style!","1921","4","3","2","1","2","3811","2800","2","350000","2015-03-25","599000","for_sale"
"single_family","Welcome to your luxurious retreat nestled in the sought-after neighborhood of Roscoe Village, just a stone's throw away from Hamlin Park. This impressive 5-bedroom, 4-and-a-half-bathroom residence is bathed in natural light and offers an unparalleled blend of elegance and functionality. Step inside to discover hardwood floors that flow seamlessly throughout, leading you to the heart of the home - a chef's kitchen adorned with a separate island and breakfast nook, ideal for culinary creations and casual dining alike. The adjacent family room creates a cozy atmosphere, providing the perfect space for relaxation or gatherings with loved ones. Unwind in the primary suite's lavish bathroom, featuring heated floors, a separate soaking tub, steam shower, and 2 separate vanities, offering a serene retreat after a long day. The lower level of the home also offers heated floors throughout, providing additional comfort and versatility. For added convenience, there are 2 separate laundry rooms- one on the lower level and one on the 2nd level. The outdoor living is just as stunning as the interior- with a front porch, back patio, and a rooftop deck, you'll be able to enjoy warm summer evenings or host memorable gatherings. The backyard patio is equipped with a Sonos speaker system, adding ambiance to every occasion. Complete with a 2-car garage, this home offers both luxury and practicality in one desirable package. Don't miss the opportunity to make this entertainer's dream your own!","2013","5","5","4","1","2","3125","4200","2","1267500","2015-09-03","1500000","for_sale"
"single_family","Explore the untapped potential of this charming brick bungalow nestled in the heart of West Garfield Park. While awaiting modern updates, this sturdy home exudes good condition and offers generous living space. The main floor features a spacious living room, formal dining room, 2 sizable bedrooms, a kitchen with a walk-in pantry, and a bath and enclosed heating porch. An unfinished attic well insulated with ample storage. A semi-finished basement with a convenient half bath offer further possibilities for expansion or personalization. A spacious 2-car garage ensures secure parking. With its estate sale status and as is condition, this home presents a canvas for visionary buyers/investors to reimagine and renovate, leveraging decades of care from the previous owner to create a sanctuary of comfort.","1924","2","2","1","1","2","3775","1637","2",,,"110000","for_sale"
"single_family","Get ready for your HEART TO SKIP a beat! Situated on a DESIRABLE OVERSIZED CORNER LOT, this CHARMING Portage Park bungalow will sweep you off your feet! The home features 3+2 bedrooms and 2.1 bathrooms - PERFECT for families and entertaining. The WELL-APPOINTED eat-in kitchen boasts stainless steel appliances, granite countertops, designer cabinets with lighting, and easily flows to the outdoor wood deck! Imagine delicious cookouts in your FENCED yard! The ENORMOUS FINISHED BASEMENT highlights an additional family room complete with built in wet bar. Finish the evening off with a movie and night cap! Other highlights include GLEAMING hardwood floors on the main level, recessed lighting, and PREMIUM wall paneling - HIGH QUALITY CRAFTSMANSHIP is apparent throughout this gem! 2 car garage provides parking convenience. Prime location near Portage Park, Portage Park Elementary and major highways. This home promises easy access to all the area has to offer, including a newly built Target in the neighborhood!","1956","3","3","2","1","2","4375","2600","1","435000","2016-04-19","599990","for_sale"
"single_family","Huge updated brick single family home with four bedrooms and two full bathrooms, refinished hardwood floors throughout the house, solid wood kitchen cabinets, stove, microwave, refrigerator, included. formal dining room open to the kitchen and big living room w/a bedroom on the main level w/full bath finished with professional touched, enclose porch and wood deck, second level offers three bedrooms w/big closets e/one, full bath room, family room and wood balcony, separated heat system and IC, full basement w/laundry room w/washer and dryer stay there, all new coper pluming, and electricity throw the house are new, two car spaces enclose with iron and wood doors. Great opportunity close to schools, transportation, shopping, etc, etc. ....","1925","4","2","2",,,"3149","3150","2",,,"399900","for_sale"
